"year";"orgnr";"var";"denominator";"ind_id"
2015;974742985;72;75;"hoftebrudd_dekgrad_prim_brudd"
2016;974742985;72;72;"hoftebrudd_dekgrad_prim_brudd"
2017;974742985;91;99;"hoftebrudd_dekgrad_prim_brudd"
2018;974742985;76;82;"hoftebrudd_dekgrad_prim_brudd"
2008;974743086;2;22;"hoftebrudd_dekgrad_prim_brudd"
2009;974743086;12;27;"hoftebrudd_dekgrad_prim_brudd"
2010;974743086;18;21;"hoftebrudd_dekgrad_prim_brudd"
2011;974743086;26;29;"hoftebrudd_dekgrad_prim_brudd"
2012;974743086;18;24;"hoftebrudd_dekgrad_prim_brudd"
2013;974743086;2;8;"hoftebrudd_dekgrad_prim_brudd"
2014;974743086;0;6;"hoftebrudd_dekgrad_prim_brudd"
2015;974743086;0;8;"hoftebrudd_dekgrad_prim_brudd"
2008;974743272;97;125;"hoftebrudd_dekgrad_prim_brudd"
2009;974743272;106;116;"hoftebrudd_dekgrad_prim_brudd"
2010;974743272;136;151;"hoftebrudd_dekgrad_prim_brudd"
2011;974743272;205;217;"hoftebrudd_dekgrad_prim_brudd"
2012;974743272;185;199;"hoftebrudd_dekgrad_prim_brudd"
2013;974743272;176;184;"hoftebrudd_dekgrad_prim_brudd"
2014;974743272;152;184;"hoftebrudd_dekgrad_prim_brudd"
2015;974743272;143;167;"hoftebrudd_dekgrad_prim_brudd"
2016;974743272;138;147;"hoftebrudd_dekgrad_prim_brudd"
2017;974743272;154;162;"hoftebrudd_dekgrad_prim_brudd"
2018;974743272;174;182;"hoftebrudd_dekgrad_prim_brudd"
2011;974744570;119;155;"hoftebrudd_dekgrad_prim_brudd"
2012;974744570;151;199;"hoftebrudd_dekgrad_prim_brudd"
2013;974744570;133;191;"hoftebrudd_dekgrad_prim_brudd"
2014;974744570;147;213;"hoftebrudd_dekgrad_prim_brudd"
2015;974744570;136;194;"hoftebrudd_dekgrad_prim_brudd"
2016;974744570;165;166;"hoftebrudd_dekgrad_prim_brudd"
2017;974744570;167;201;"hoftebrudd_dekgrad_prim_brudd"
2018;974744570;195;207;"hoftebrudd_dekgrad_prim_brudd"
2011;974745089;15;17;"hoftebrudd_dekgrad_prim_brudd"
2012;974745089;10;15;"hoftebrudd_dekgrad_prim_brudd"
2011;974745364;31;47;"hoftebrudd_dekgrad_prim_brudd"
2012;974745364;15;18;"hoftebrudd_dekgrad_prim_brudd"
2008;974745569;138;151;"hoftebrudd_dekgrad_prim_brudd"
2009;974745569;127;138;"hoftebrudd_dekgrad_prim_brudd"
2010;974745569;137;154;"hoftebrudd_dekgrad_prim_brudd"
2011;974745569;125;139;"hoftebrudd_dekgrad_prim_brudd"
2012;974745569;93;106;"hoftebrudd_dekgrad_prim_brudd"
2013;974745569;107;113;"hoftebrudd_dekgrad_prim_brudd"
2014;974745569;87;98;"hoftebrudd_dekgrad_prim_brudd"
2015;974745569;70;86;"hoftebrudd_dekgrad_prim_brudd"
2016;974745569;64;79;"hoftebrudd_dekgrad_prim_brudd"
2017;974745569;83;107;"hoftebrudd_dekgrad_prim_brudd"
2018;974745569;64;83;"hoftebrudd_dekgrad_prim_brudd"
2008;974746948;44;97;"hoftebrudd_dekgrad_prim_brudd"
2009;974746948;57;89;"hoftebrudd_dekgrad_prim_brudd"
2010;974746948;73;116;"hoftebrudd_dekgrad_prim_brudd"
2011;974746948;78;98;"hoftebrudd_dekgrad_prim_brudd"
2012;974746948;121;154;"hoftebrudd_dekgrad_prim_brudd"
2013;974746948;100;134;"hoftebrudd_dekgrad_prim_brudd"
2014;974746948;122;141;"hoftebrudd_dekgrad_prim_brudd"
2015;974746948;120;132;"hoftebrudd_dekgrad_prim_brudd"
2016;974746948;129;140;"hoftebrudd_dekgrad_prim_brudd"
2017;974746948;132;139;"hoftebrudd_dekgrad_prim_brudd"
2018;974746948;145;154;"hoftebrudd_dekgrad_prim_brudd"
2008;974747138;164;199;"hoftebrudd_dekgrad_prim_brudd"
2009;974747138;157;185;"hoftebrudd_dekgrad_prim_brudd"
2010;974747138;197;210;"hoftebrudd_dekgrad_prim_brudd"
2011;974747138;180;192;"hoftebrudd_dekgrad_prim_brudd"
2012;974747138;185;199;"hoftebrudd_dekgrad_prim_brudd"
2013;974747138;165;175;"hoftebrudd_dekgrad_prim_brudd"
2014;974747138;164;184;"hoftebrudd_dekgrad_prim_brudd"
2015;974747138;152;179;"hoftebrudd_dekgrad_prim_brudd"
2016;974747138;150;177;"hoftebrudd_dekgrad_prim_brudd"
2017;974747138;136;178;"hoftebrudd_dekgrad_prim_brudd"
2018;974747138;151;198;"hoftebrudd_dekgrad_prim_brudd"
2008;974747545;86;100;"hoftebrudd_dekgrad_prim_brudd"
2009;974747545;79;86;"hoftebrudd_dekgrad_prim_brudd"
2010;974747545;76;83;"hoftebrudd_dekgrad_prim_brudd"
2011;974747545;94;104;"hoftebrudd_dekgrad_prim_brudd"
2012;974747545;98;105;"hoftebrudd_dekgrad_prim_brudd"
2013;974747545;103;108;"hoftebrudd_dekgrad_prim_brudd"
2014;974747545;98;101;"hoftebrudd_dekgrad_prim_brudd"
2015;974747545;94;98;"hoftebrudd_dekgrad_prim_brudd"
2016;974747545;103;105;"hoftebrudd_dekgrad_prim_brudd"
2017;974747545;110;115;"hoftebrudd_dekgrad_prim_brudd"
2018;974747545;95;97;"hoftebrudd_dekgrad_prim_brudd"
2008;974749025;283;424;"hoftebrudd_dekgrad_prim_brudd"
2009;974749025;340;443;"hoftebrudd_dekgrad_prim_brudd"
